changed./base-file.csvtitle,price
Nike Air Huarache,"
	Now  £60.00  
	
					Save 48%
		"
Nike Air Max 1995,£165.00
Nike Air More Uptempo,£150.00
Nike Air Max 97,£155.00
Nike Air Huarache,"
	Now  £70.00  
	
					Save 39%
		"
Nike ACG Air Deschutz Sandal,"
	Now  £50.00  
	
					Save 29%
		"
Nike Waffle Trainer 2,"
	Now  £55.00  
	
					Save 39%
		"
Nike Waffle Trainer 2,"
	Now  £45.00  
	
					Save 50%
		"
Nike NSW Free Remastered,"
	Now  £50.00  
	
					Save 55%
		"
Nike BE-DO-WIN,"
	Now  £50.00  
	
					Save 57%
		"
Nike Nike Air Zoom Terra Kiger,"
	Now  £80.00  
	
					Save 36%
		"
Nike NSW Free Remastered,"
	Now  £60.00  
	
					Save 45%
		"
Nike Air Huarache,"
	Now  £80.00  
	
					Save 30%
		"
Nike Free Run 2,"
	Now  £65.00  
	
					Save 32%
		"
Nike ACG Air Deschutz Sandal,"
	Now  £40.00  
	
					Save 43%
		"
Nike Air Max 95,"
	Now  £115.00  
	
					Save 30%
		"
Nike Air Presto Mid Utility,"
	Now  £85.00  
	
					Save 37%
		"
Nike ACG Air Mowabb,"
	Now  £110.00  
	
					Save 29%
		"
Nike Blazer Low 77,"
	Now  £55.00  
	
					Save 31%
		"
Nike ACG Air Mowabb,"
	Now  £80.00  
	
					Save 48%
		"
Nike Free Run Trail,"
	Now  £60.00  
	
					Save 45%
		"
Nike Air Huarache,"
	Now  £85.00  
	
					Save 26%
		"
Nike Presto,"
	Now  £75.00  
	
					Save 29%
		"
Nike Lahar Low,"
	Now  £65.00  
	
					Save 43%
		"
Nike Blazer Mid '77,"
	Now  £75.00  
	
					Save 32%
		"
Nike Waffle Trainer 2,"
	Now  £60.00  
	
					Save 33%
		"
Nike Terra Kiger 7,"
	Now  £85.00  
	
					Save 32%
		"
Nike Air Presto 'Multi-Storm',"
	Now  £50.00  
	
					Save 57%
		"
Nike ACG Air Mowabb,"
	Now  £80.00  
	
					Save 45%
		"
Nike Waffle Two,"
	Now  £50.00  
	
					Save 44%
		"
Nike GTS 97,"
	Now  £40.00  
	
					Save 33%
		"
Nike Air Presto,"
	Now  £75.00  
	
					Save 32%
		"
Nike Air VaporMax Evo,"
	Now  £145.00  
	
					Save 24%
		"
Nike Air Force 1 Mid 'NYC',"
	Now  £80.00  
	
					Save 24%
		"
Nike LeBron 18,"
	Now  £115.00  
	
					Save 30%
		"
Nike Air Force 1 Mid 'NYC',"
	Now  £75.00  
	
					Save 29%
		"
Nike Air Presto,"
	Now  £70.00  
	
					Save 33%
		"
Nike 'First Use' Waffle Trainer 2,"
	Now  £65.00  
	
					Save 28%
		"
Nike Free Run Trail,"
	Now  £45.00  
	
					Save 57%
		"
Nike Air VaporMax 2021 Flyknit,"
	Now  £160.00  
	
					Save 20%
		"
Nike Blazer Low,"
	Now  £60.00  
	
					Save 29%
		"
Nike Air Pegasus '83,"
	Now  £50.00  
	
					Save 44%
		"
Nike Free Run Trail Crater,"
	Now  £55.00  
	
					Save 52%
		"
Nike Air Max Pre-Day,"
	Now  £80.00  
	
					Save 30%
		"
Nike Blazer Low,"
	Now  £60.00  
	
					Save 29%
		"
Nike LeBron 18,"
	Now  £110.00  
	
					Save 35%
		"
Nike Air Presto,"
	Now  £50.00  
	
					Save 57%
		"
Nike LeBron 18,"
	Now  £115.00  
	
					Save 30%
		"
Nike Lebron VIII,"
	Now  £120.00  
	
					Save 29%
		"
Nike KD 14,"
	Now  £85.00  
	
					Save 35%
		"
Nike Air Force 1 '07 Low QS,"
	Now  £80.00  
	
					Save 30%
		"
Nike Blazer Low,"
	Now  £65.00  
	
					Save 24%
		"
Nike Lahar Low Canvas,"
	Now  £60.00  
	
					Save 48%
		"
Nike Lahar Low Canvas,"
	Now  £60.00  
	
					Save 48%
		"
Nike Free Run Trail,"
	Now  £50.00  
	
					Save 60%
		"
Nike Free Run Trail,"
	Now  £45.00  
	
					Save 57%
		"
Nike LeBron 8 'Space Jam',"
	Now  £125.00  
	
					Save 31%
		"
Nike LeBron 18 Low,"
	Now  £95.00  
	
					Save 34%
		"
Nike PG 5,"
	Now  £75.00  
	
					Save 29%
		"
Nike Killshot OG,"
	Now  £35.00  
	
					Save 56%
		"
Nike Terra Kiger 7,"
	Now  £70.00  
	
					Save 44%
		"
